1470-1494words,1470-1494frequency,1495-1519words,1495-1519frequency,1520-1544words,1520-1544frequency,1545-1569words,1545-1569frequency,1570-1594words,1570-1594frequency,1595-1619words,1595-1619frequency,1620-1644words,1620-1644frequency,1645-1669words,1645-1669frequency,1670-1700words,1670-1700frequency
consumption*,2,consume*,75,consumption*,24,consumption*,51,consumption*,365,consumption*,689,consumption*,954,consumption*,2038,consumption*,2828
consume*,89,cupiditas*,6,consume*,561,consume*,1638,consume*,4638,consume*,6062,consume*,5853,consume*,8532,consume*,7682
cupiditas*,4,greed*,3,cupiditas*,9,cupiditas*,7,cupiditas*,68,cupiditas*,33,cupiditas*,46,cupiditas*,76,cupiditas*,56
greed*,5,desire*,170,curiositas*,2,cupidity*,1,cupidity*,3,cupidity*,6,cupidity*,9,cupidity*,23,cupidity*,35
desire*,1302,appetite*,21,curiosity*,2,curiositas*,1,curiositas*,2,curiositas*,9,curiositas*,10,curiositas*,16,curiositas*,17
appetite*,26,lust*,707,greed*,22,curiosity*,23,curiosity*,59,curiosity*,400,curiosity*,901,curiosity*,3548,curiosity*,5872
lust*,1067,libido*,12,desire*,896,greed*,226,greed*,1719,greed*,2966,greed*,2809,greed*,3875,greed*,4263
libido*,3,possess*,259,appetite*,460,desire*,6975,desire*,27526,desire*,45802,desire*,56419,desire*,95420,desire*,107549
possess*,386,possession*,53,lust*,2333,appetite*,797,appetite*,1655,appetite*,3071,appetite*,3492,appetite*,6460,appetite*,9150
possession*,262,busy*,104,libido*,18,lust*,4487,lust*,8663,lust*,12002,lust*,15423,lust*,26983,lust*,29723
possessing*,1,need*,5,avarice*,2,libido*,11,lvst*,1,lvst*,11,lvst*,6,lvst*,3,lvst*,5
busy*,10,necessary*,239,possess*,1885,avarice*,2,libido*,97,libido*,36,libido*,61,libido*,110,libido*,104
need*,24,meed*,2,possession*,680,possess*,3988,avarice*,10,avarice*,149,avarice*,555,avarice*,1474,avarice*,2428
necessary*,274,wastour*,1,possessing*,3,possession*,1842,possess*,10065,possess*,18262,possess*,17481,possess*,32031,possess*,47264
meed*,25,waster*,7,busy*,1349,possessing*,48,possession*,4029,possession*,7869,possession*,7917,possession*,15441,possession*,23505
budge*,1,debitum*,7,businesse*,78,busy*,1232,possessing*,288,possessing*,577,possessing*,618,possessing*,1021,possessing*,1383
wastour*,8,debt*,2,need*,100,businesse*,510,busy*,341,busy*,209,busy*,281,busy*,506,busy*,1271
waster*,9,expense*,11,necessity*,28,need*,2728,businesse*,1700,businesse*,5417,businesse*,11561,businesse*,12777,businesse*,1427
speculation*,7,gain*,2,necessary*,2192,necessity*,344,need*,24267,need*,39960,need*,45086,need*,81839,need*,100440
debitum*,6,miser*,278,meed*,9,needing*,2,necessity*,1226,necessity*,3849,necessity*,9710,necessity*,27058,necessity*,36025
debt*,17,fortune*,438,wastour*,2,necessary*,3542,needing*,49,needing*,133,needing*,191,needing*,332,needing*,405
expense*,18,fortuna*,60,waster*,19,meed*,68,necessary*,5659,necessary*,7652,necessary*,16159,necessary*,39137,necessary*,70889
gain*,10,use*,14,speculation*,19,budge*,10,meed*,191,meed*,384,meed*,192,meed*,93,meed*,109
miser*,156,usury*,1,debitum*,19,wastour*,1,budge*,110,bougeor*,2,budge*,194,budge*,242,budge*,325
fortune*,1479,interest*,14,debt*,44,waster*,26,waster*,83,budge*,250,waster*,130,waster*,151,waster*,88
fortuna*,113,temperance*,7,expense*,100,speculation*,57,speculation*,227,waster*,97,speculation*,730,wasture*,1,speculation*,3017
use*,11,,,gain*,40,debitum*,23,debitum*,70,speculation*,524,debitum*,156,speculation*,1979,debitum*,380
temperance*,7,,,miser*,1892,debt*,469,debt*,1960,debitum*,141,debt*,6409,debitum*,467,debt*,16167
,,,,fortune*,2043,expense*,102,expense*,250,debt*,4637,expense*,216,debt*,11488,expense*,449
,,,,fortuna*,393,gain*,1540,gain*,6194,expense*,265,gain*,16314,expense*,329,gain*,36624
,,,,use*,56,miser*,4960,miser*,14124,gain*,14348,miser*,24945,gain*,26374,miser*,40928
,,,,usury*,2,fortune*,4761,fortune*,9984,miser*,22042,fortune*,14218,miser*,37598,fortune*,31774
,,,,interest*,72,fortuna*,645,fortuna*,2213,fortune*,18398,fortuna*,2289,fortune*,22403,fortuna*,4408
,,,,temperance*,108,use*,313,use*,533,fortuna*,2800,use*,55551,fortuna*,3695,use*,221232
,,,,,,usury*,1,usury*,33,use*,3202,usury*,426,use*,161102,usury*,1390
,,,,,,interest*,207,interest*,1216,usury*,15,interest*,5007,usury*,924,interest*,55296
,,,,,,temperance*,117,temperance*,587,interest*,2360,temperance*,1148,interest*,26244,temperance*,3045
,,,,,,,,,,temperance*,1339,,,temperance*,2067,consumptioner*,4
,,,,,,,,,,,,,,consumptioner*,4,,
